Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned	type	reset_name
S104_BJ20190416172PTS	S104_BJ20190416172PTS_sort_dedup_realigned_recal.bam	294071750	293988060	21139082539	21136994878	11536.2254	175	57.2651	0.0059	349.6551	99.9715409589666	normal	P19
S105_BJ20190416173PES	S105_BJ20190416173PES_sort_dedup_realigned_recal.bam	277345122	277229421	18842680190	18840559436	8793.2343	151	57.1766	0.0058	311.671	99.9582826627108	tumor	P50
S106_BJ20190416059PES	S106_BJ20190416059PES_sort_dedup_realigned_recal.bam	238293214	238219786	18067747820	18065980218	14872.3141	147	57.1852	0.0055	298.8531	99.9691858619188	tumor	P7
S110_BJ20190416071PES	S110_BJ20190416071PES_sort_dedup_realigned_recal.bam	296813932	296715895	22579501543	22577084373	7601.4836	154	57.2075	0.0054	373.4806	99.9669702162094	tumor	P12
S111_BJ20190416005PES	S111_BJ20190416005PES_sort_dedup_realigned_recal.bam	182758680	182619052	12364284446	12363082960	107215.5015	140	57.0608	0.0036	204.5138	99.9235997983789	tumor	P31
S111_BJ20190416073PES	S111_BJ20190416073PES_sort_dedup_realigned_recal.bam	285327894	285218535	21092835139	21090571414	21557.8574	148	57.1634	0.0057	348.8901	99.9616725170235	tumor	P35
S113_BJ20190416025PES	S113_BJ20190416025PES_sort_dedup_realigned_recal.bam	280610878	280522550	21531811836	21529530059	20087.6151	150	57.2405	0.0038	356.1511	99.9685229593986	tumor	P24
S113_BJ20190416075PES	S113_BJ20190416075PES_sort_dedup_realigned_recal.bam	303027238	302920089	22731388645	22729192865	56178.0613	159	57.2179	0.0058	375.9929	99.9646404723525	tumor	P40
S115_BJ20190416027PES	S115_BJ20190416027PES_sort_dedup_realigned_recal.bam	243309882	243235722	17276074965	17274061246	20466.3004	136	57.1215	0.004	285.7582	99.9695203501846	tumor	P45
S115_BJ20190416107PES	S115_BJ20190416107PES_sort_dedup_realigned_recal.bam	252518460	252452972	18640595512	18638628108	10699.4253	145	57.1829	0.0056	308.3283	99.9740660544184	tumor	P17
S116_BJ20190416097PES	S116_BJ20190416097PES_sort_dedup_realigned_recal.bam	227999504	227940418	16083648691	16082096236	9210.9791	141	57.2279	0.0039	266.0347	99.9740850313429	tumor	P16
S116_SZ20191229048PTS	S116_SZ20191229048PTS_sort_dedup_realigned_recal.bam	90426114	90402478	6655646932	6654943139	32439.081	154	57.2422	0.0045	110.089	99.9738615329638	normal	P10
S117_BJ20190416115PES	S117_BJ20190416115PES_sort_dedup_realigned_recal.bam	278058438	277953056	20192605134	20190557863	8807.3313	136	57.1534	0.0038	333.9997	99.9621007725002	tumor	P47
S117_BJ20190416121PES	S117_BJ20190416121PES_sort_dedup_realigned_recal.bam	210691948	210636694	15924931378	15923198609	11543.3831	150	57.2473	0.0054	263.4094	99.9737749826111	tumor	P30
S117_SZ20191229049PTS	S117_SZ20191229049PTS_sort_dedup_realigned_recal.bam	103949214	103919160	7604347983	7603513812	42119.3403	166	57.2622	0.0046	125.7812	99.9710878044734	normal	P10
S118_BJ20190416119PES	S118_BJ20190416119PES_sort_dedup_realigned_recal.bam	241003906	240924775	17484042271	17482241036	30749.2165	139	57.1625	0.0038	289.1982	99.9671660923205	tumor	P5
S119_BJ20190416123PES	S119_BJ20190416123PES_sort_dedup_realigned_recal.bam	263392888	263322903	20220496704	20218338611	14069.2767	155	57.1839	0.0055	334.461	99.9734294268416	tumor	P37
S121_BJ20190416125PES	S121_BJ20190416125PES_sort_dedup_realigned_recal.bam	220102248	220042947	16006366140	16004695986	7502.4688	141	57.2187	0.0055	264.7564	99.9730575218841	tumor	P21
S134_SZ20191229067PES	S134_SZ20191229067PES_sort_dedup_realigned_recal.bam	227309222	227218500	17224258417	17222305802	41100.1804	176	57.2328	0.004	284.9012	99.9600887288242	tumor	P29
S135_SZ20191229072PES	S135_SZ20191229072PES_sort_dedup_realigned_recal.bam	297419164	297290914	22155119403	22152177326	22076.4559	154	57.192	0.0039	366.461	99.9568790395766	tumor	P25
S136_SZ20191229073PES	S136_SZ20191229073PES_sort_dedup_realigned_recal.bam	269581234	269467980	20256096238	20253748630	23374.5616	164	57.2218	0.0038	335.0498	99.9579889155044	tumor	P25
S138_SZ20191229078PES	S138_SZ20191229078PES_sort_dedup_realigned_recal.bam	272956000	272778971	19604202806	19602094566	10953.3838	181	57.2544	0.0041	324.2671	99.9351437594338	tumor	P46
S139_SZ20191229079PES	S139_SZ20191229079PES_sort_dedup_realigned_recal.bam	267700312	267583993	19308522284	19306627130	14403.4655	150	57.1952	0.0036	319.3763	99.9565487992408	tumor	P46
S149_BJ20190416017PES	S149_BJ20190416017PES_sort_dedup_realigned_recal.bam	317182712	317085886	21807201388	21805004253	112826.6132	146	57.0941	0.0036	360.7062	99.9694731155461	tumor	P4
S154_BJ20190424023PES	S154_BJ20190424023PES_sort_dedup_realigned_recal.bam	234306452	234247185	16356618975	16355132570	65151.9155	139	57.0951	0.003	270.5498	99.9747053487029	tumor	P26
S159_BJ20190424024PES	S159_BJ20190424024PES_sort_dedup_realigned_recal.bam	272256940	272181103	20652045230	20650100688	56021.3771	163	57.1762	0.0033	341.5991	99.972145062675	tumor	P26
