reset_name	Sample	type	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned	fastp_mqc.generalstats.fastp.pct_duplication	fastp_mqc.generalstats.fastp.after_filtering_q30_rate	fastp_mqc.generalstats.fastp.after_filtering_q30_bases	fastp_mqc.generalstats.fastp.filtering_result_passed_filter_reads	fastp_mqc.generalstats.fastp.after_filtering_gc_content	fastp_mqc.generalstats.fastp.pct_surviving	fastp_mqc.generalstats.fastp.pct_adapter	Genome_fraction_30x
P37	S119_BJ20190416123PES	tumor	263392888	263322903	20220496704	20218338611	14069.2767	155	57.1839	0.0055	334.461	99.9734294268416	40.3336	0.936137	33225067024	263392888	0.531297	99.1338381717962	44.0092266964172	91.25
P38	S004_BJ20190416165PES	tumor	277040558	276913027	21699068941	21696857097	7521.853	165	57.2428	0.0038	358.9176	99.9539666679418	33.3521	0.941444	36219121076	277040558	0.50272	98.9009853622695	35.2190925868577	92.73
P38	S030_BJ20190416081PES	tumor	270004484	269919993	21012684624	21010757387	22752.6776	165	57.2324	0.0033	347.5643	99.9687075567234	38.0021	0.953489	35861731460	270004484	0.502376	99.1429360362431	34.6126123876674	92.51
P38	S053_BJ20190424050DNA	normal	109010638	108987506	8661897423	8661155736	12249.5955	178	57.3339	0.0032	143.2738	99.9787800526404	22.5814	0.95471	14892310298	109010638	0.495831	99.0947730462995	25.3356026064145	88.21
P39	S039_BJ20190416137PES	tumor	251426150	251320524	18800331253	18798511934	55836.6027	157	57.2004	0.0035	310.9705	99.9579892544988	33.819	0.952537	32908324568	251426150	0.506584	98.9603591234047	39.5231299519805	91.71
P39	S044_BJ20190424041DNA	normal	84910592	84894995	6576644245	6576088368	18970.9421	188	57.4193	0.0029	108.7822	99.9816312669213	23.2749	0.955603	11748415124	84910592	0.470973	99.197968230422	19.948573496198	84.75
P39	S061_BJ20190416053PES	tumor	171684926	171627395	13196211894	13194924879	18854.1476	159	57.2789	0.0056	218.2745	99.966490360371	28.2768	0.933157	21847420100	171684926	0.513808	99.1142255094985	40.2128982679282	89.74
P40	S051_BJ20190424048DNA	normal	92920430	92895681	7266365837	7265776372	17172.1758	175	57.3942	0.0031	120.1907	99.9733653836944	21.1477	0.955022	12594808300	92920430	0.493692	99.0828650093702	27.5223648782342	86.41
P40	S098_BJ20190416159PES	tumor	392377446	392150917	29056596430	29053909618	63488.9289	154	57.1691	0.0034	480.6162	99.9422675787538	48.6705	0.948517	50627486935	392377446	0.506589	99.049098234106	41.72773922155	92.96
P40	S113_BJ20190416075PES	tumor	303027238	302920089	22731388645	22729192865	56178.0613	159	57.2179	0.0058	375.9929	99.9646404723525	42.5495	0.928722	38748892137	303027238	0.497209	99.2027662656896	38.2003337837018	92.41
P41	S025_BJ20190416052PTS	normal	251440436	251369668	18261725507	18260021744	23304.1878	158	57.2308	0.0034	302.0616	99.9718549644895	39.9771	0.950211	33102821720	251440436	0.456476	99.2643860095034	39.4835151567856	90.65
P41	S054_BJ20190416051PES	tumor	229422538	229355589	16599243056	16597683449	11329.7526	144	57.1929	0.0035	274.563	99.9708184729436	32.99	0.951905	28775687317	229422538	0.486665	99.2110212114813	54.1813467111889	90.59
P41	S085_BJ20190416135PES	tumor	146871658	146771799	10570520217	10569434065	11138.8347	149	57.1841	0.0071	174.8437	99.9320093465548	33.5362	0.921663	18101399237	146871658	0.4851	99.0289607657984	45.9451216782284	87.81
P41	S086_BJ20190416136PTS	normal	151273880	151147569	10667449981	10666381800	14169.9701	152	57.1976	0.0074	176.447	99.9165017780994	34.1295	0.916927	18640403385	151273880	0.461236	98.9233838784615	43.1816051771406	87.18
P42	S028_BJ20190424016PES	tumor	277899768	277821617	21315038439	21312852417	10686.7617	150	57.2001	0.0033	352.5655	99.9718779901968	35.7238	0.957607	35723835002	277899768	0.512806	99.1103951919571	47.8557606804433	91.96
P42	S029_BJ20190424017PES	tumor	281656116	281576709	21502438063	21500023763	38057.9019	155	57.1656	0.0035	355.6652	99.9718071096315	36.1182	0.955391	36489018643	281656116	0.51474	99.0542701303536	42.651085711457	92.07
P42	S064_BJ20190424061DNA	normal	104931110	104906824	8159272666	8158582043	15751.6838	180	57.3331	0.003	134.96	99.9768552910571	24.9419	0.953236	14344674053	104931110	0.492179	98.9958177280322	23.9602572554544	87.6
P43	S071_BJ20190426004DNA	normal	98018982	97997380	7546542739	7545920791	34613.9317	188	57.3319	0.0032	124.825	99.9779614115968	24.0177	0.950183	13553414729	98018982	0.476555	99.1619865203044	18.3681733213326	86.7
P43	S091_BJ20190416145PES	tumor	153903112	153807122	11656367417	11655117680	11597.483	168	57.233	0.0079	192.8044	99.9376295912717	33.8912	0.912929	19716795133	153903112	0.495226	98.8637387934854	30.5628492408189	89.66
P43	S103_BJ20190416061PES	tumor	298747938	298612051	21514089798	21511962599	74201.4516	148	57.0975	0.0035	355.8579	99.9545144977703	46.4389	0.95528	38011582161	298747938	0.512184	99.1247583429547	46.8290721548015	91.78
P44	S006_SZ20191229045PES	tumor	174728834	174610811	10989094044	10987818928	74192.8166	129	57.0536	0.0039	181.7672	99.9324536212495	35.4215	0.96007	20917838737	174728834	0.526234	98.3829503039306	63.0109935474025	86.59
P44	S047_SZ20200107035DNA	normal	109299232	109259295	8088240165	8087523142	23276.7639	176	57.313	0.0031	133.7851	99.9634608594505	22.5695	0.950633	14787177055	109299232	0.492645	99.0017438197297	27.7754468877727	87.4
P44	S090_SZ20191229044PES	tumor	186070366	185833890	10006631853	10005012270	195301.7318	145	57.0094	0.0045	165.5166	99.8729104450732	33.6054	0.949963	23403904593	186070366	0.514277	98.5801278916631	45.9560717175775	86
P45	S034_BJ20190416111PES	tumor	269067414	268988822	20869122952	20867034513	17454.0233	170	57.2394	0.0038	345.1897	99.9707909631896	37.474	0.953522	36014754047	269067414	0.485965	99.273782079	31.600115562626	92.65
P45	S036_BJ20190424033DNA	normal	114444828	114419940	9007826083	9007083883	11305.8424	175	57.3101	0.0031	148.9957	99.9782532767667	22.2271	0.955061	15524434481	114444828	0.495582	99.018945685139	27.6438452968478	88.46
P45	S115_BJ20190416027PES	tumor	243309882	243235722	17276074965	17274061246	20466.3004	136	57.1215	0.004	285.7582	99.9695203501846	42.9354	0.954173	29177255283	243309882	0.507829	99.2082718576916	59.8472487894962	90.48
P46	S071_SZ20191229080PES	normal	105491712	105408927	6582905440	6582177259	13093.582	194	57.3278	0.0038	108.8858	99.9215246407225	23.2879	0.948892	14292910802	105491712	0.477277	98.9855037242586	24.1513915968686	85.7
P46	S138_SZ20191229078PES	tumor	272956000	272778971	19604202806	19602094566	10953.3838	181	57.2544	0.0041	324.2671	99.9351437594338	37.4126	0.945506	36146422691	272956000	0.493665	98.7280782638668	29.8131328888629	93.52
P46	S139_SZ20191229079PES	tumor	267700312	267583993	19308522284	19306627130	14403.4655	150	57.1952	0.0036	319.3763	99.9565487992408	33.5748	0.952326	34348453484	267700312	0.50106	98.9312115568432	48.3446791323445	91.84
P47	S037_BJ20190416116PTS	normal	243057198	242958712	17248001596	17246320897	8963.6006	135	57.1527	0.0043	285.2939	99.9594803195255	39.7115	0.953019	28994110791	243057198	0.502554	99.0481495941131	62.1889513608401	90.5
P47	S067_BJ20190416031PES	tumor	266249374	266142264	19799084217	19797014296	14329.9085	145	57.1665	0.0058	327.4906	99.9597707974329	35.038	0.936922	32639423118	266249374	0.523871	99.0289567747797	52.5199858385841	91.09
P47	S117_BJ20190416115PES	tumor	278058438	277953056	20192605134	20190557863	8807.3313	136	57.1534	0.0038	333.9997	99.9621007725002	48.5134	0.953199	33418289877	278058438	0.515505	99.0559698585447	60.955365747681	90.9
P48	S041_BJ20190424038DNA	normal	138634258	138597086	10861777790	10860849951	13083.3686	175	57.3044	0.003	179.6613	99.973187002595	25.1347	0.954193	18858609104	138634258	0.49051	99.1061575424532	27.0763989570089	89.98
P48	S048_BJ20190416045PES	tumor	255221326	255128002	19314318760	19311945173	47015.5825	163	57.1844	0.0035	319.4722	99.9634340901434	34.3157	0.949142	33492390074	255221326	0.489406	99.1491191274712	35.6305896278362	92.17
P48	S080_BJ20190416129PES	tumor	163752680	163631838	12164576689	12163175041	14334.4133	173	57.2285	0.0077	201.2105	99.9262045665451	31.6391	0.914736	21169741714	163752680	0.493778	98.9557358507277	27.532368480643	90.22
P49	S066141_SZ20191229060PES	tumor	254967620	254551065	18119789448	18117083887	66393.256	138	57.0502	0.0048	299.7139	99.8366243525354	38.0003	0.950168	31589562680	254967620	0.519143	96.7662575851419	53.672565947824	90.25
P49	S067142_SZ20191229062PES	tumor	231463102	231244628	16443658785	16441254551	28229.6828	131	57.1061	0.0047	271.9895	99.9056117376324	37.5279	0.950092	27679405173	231463102	0.527207	96.7126027685072	62.0800398417491	88.64
P49	S090_SZ20191229061PTS	normal	102462808	102336226	7524261608	7523272495	8979.258	143	57.2401	0.0041	124.4565	99.8764605397112	29.0775	0.953725	12827269202	102462808	0.500619	98.3465542763175	54.1462033981748	82.74
P49	S091_SZ20191229063PTS	normal	83909930	83774986	5439229081	5438455007	10532.5279	125	57.1719	0.0046	89.9686	99.8391799397282	25.7821	0.951756	9658832873	83909930	0.520001	96.7711128195964	70.5004958615466	71.25
P50	S028_BJ20190416077PES	tumor	336761856	336651192	25993569131	25990763046	16982.7446	157	57.2016	0.0031	429.9516	99.9671387961468	41.9817	0.95668	43847716598	336761856	0.498854	99.2478594471326	41.6920701297141	92.97
P50	S052_BJ20190424049DNA	normal	103630308	103608440	8214464771	8213752631	13163.3173	173	57.3198	0.0032	135.8729	99.9788980652262	22.5778	0.954219	14042318756	103630308	0.49642	99.067017648828	28.589186043597	87.45
P50	S099_BJ20190416161PES	tumor	239430704	239355761	17410212631	17408074995	38376.0312	173	57.2125	0.0067	287.977	99.9686995031347	39.8737	0.92295	31122842049	239430704	0.497649	99.1614477394615	29.2123887342291	92.03
P50	S105_BJ20190416173PES	tumor	277345122	277229421	18842680190	18840559436	8793.2343	151	57.1766	0.0058	311.671	99.9582826627108	38.7748	0.931754	34190819289	277345122	0.492273	99.2134976801841	48.2254777016291	91.69
P51	S044_SZ20200107024DNA	normal	139074812	139018867	10303816916	10302813331	53407.8729	204	57.3029	0.0031	170.4323	99.9597734491275	25.1048	0.952084	19362325856	139074812	0.489167	99.0513450104706	14.5075250920205	90.65
P51	S091_SZ20191229035PES	tumor	289248890	288886153	15059967976	15058075667	85030.3963	126	56.963	0.0044	249.1023	99.8745934686214	38.1146	0.952621	34128115618	289248890	0.505516	98.5385624146637	65.3861219343641	89.22
P51	S092_SZ20191229036PES	tumor	238181692	237844842	12816978114	12815472006	72025.3336	130	57.0288	0.0041	212.0017	99.8585743525577	33.7449	0.951389	28311527573	238181692	0.489467	98.5855724015736	63.6840831425192	88.82
